id,dataset,description,group
361,L20,Lead - Dust,Laboratory
362,L24EPH,Environmental Phenols,Laboratory
363,L24PFC,Polyfluoroalkyl Chemicals,Laboratory
364,L24PH,Phthalates - Urine,Laboratory
365,L24PP,Pesticides - Environmental - Urine,Laboratory
366,L25,Complete Blood Count with 5-part Differential - Whole Blood,Laboratory
367,L25_2,"Complete Blood Count with 5-part Differential - Whole Blood, Second Exam",Laboratory
368,L26OPD,Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine,Laboratory
369,L26PP,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",Laboratory
370,L26UPP,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",Laboratory
371,L28DFP,"Dioxins, Furans, & Coplanar PCBs",Laboratory
372,L28NPB,Non-dioxin-like Polychlorinated Biphenyls,Laboratory
373,L28OCP,Pesticides - Organochlorine Metabolites - Serum (Surplus),Laboratory
374,L28PBE,Brominated Flame Retardants (BFRs),Laboratory
375,L28POC,"Dioxins, Furans, & Coplanar PCBs",Laboratory
376,L31PAH,Polyaromatic Hydrocarbons (PAHs) - Urine,Laboratory
377,L34,Bacterial vaginosis (BV) & Trichomonas vaginalis,Laboratory
378,L35,Methicillin - Resistant Staphylococcus aureus (MRSA),Laboratory
379,L36,"Syphilis-IgG, Syphilis Rapid Plasma Reagin (RPR) & Treponema pallidum Particle Agglutination (TP-PA)",Laboratory
380,L37SWA,Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Prototype Line Blot Assay,Laboratory
381,L37SWR,Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array,Laboratory
382,L39,Erythrocyte Protoporphyrin,Laboratory
383,L39_2,Erythrocyte Protoporphyrin,Laboratory
384,L39EPP,Erythrocyte Protoporphyrin & Selenium,Laboratory
385,L40_2,"Standard Biochemistry Profile, Follicle Stimulating Hormone & Luteinizing Hormone, Second Exam",Laboratory
386,L40FE,"Iron, Total Iron Binding Capacity (TIBC), & Transferrin Saturation",Laboratory
387,L40T4,Thyroid - Stimulating Hormone & Thyroxine (TSH & T4),Laboratory
388,L43,Vitamin B6,Laboratory
389,L45VIT,"Vitamin A, Vitamin E & Carotenoids",Laboratory
390,L52SER,"Human Papillomavirus (HPV) - 6, 11, 16 & 18 Antibody - Serum: 4-plex CLIA",Laboratory
391,LAB02,Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody,Laboratory
392,MMA,Methylmalonic Acid,Laboratory
393,MMRV,"Measles, Mumps, Rubella & Varicella",Laboratory
394,OGTT,Oral Glucose Tolerance Test,Laboratory
395,ORHPV,Human Papillomavirus (HPV) - Oral Rinse,Laboratory
396,PAH,Polyaromatic Hydrocarbons (PAHs) - Urine,Laboratory
397,PAHS,Polyaromatic Hydrocarbons (PAHs)- Urine - Special Sample,Laboratory
398,PCBPOL,Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples,Laboratory
399,PERNTS,"Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample",Laboratory
400,PFC,Polyfluoroalkyl Chemicals,Laboratory
401,PFC_POOL,Polyfluoroalkyl Chemicals - Pooled Samples (Surplus),Laboratory
402,PHYTO,Phytoestrogens - Urine,Laboratory
403,POOLTF,Pooled-Sample Technical Support File,Laboratory
404,PP,Pesticides - Environmental - Urine,Laboratory
405,PSA,Prostate Specific Antigen (PSA),Laboratory
406,PSTPOL,Pesticides - Organochlorine Pesticides - Pooled Samples,Laboratory
407,PTH,Parathyroid Hormone,Laboratory
408,SSANA,Autoantibodies - Immunofluorescence & Immunoprecipitation Analyses (Surplus),Laboratory
409,SSANA2,Autoantibodies - Immunofluorescence Analyses (Surplus),Laboratory
410,SSBFR,Brominated Flame Retardants (BFRs) - Pooled Samples (Surplus),Laboratory
411,SSBNP,N-terminal Pro-BNP (Surplus),Laboratory
412,SSCA,Cancer antigen CA125 and CA15.3 - Serum (Surplus),Laboratory
413,SSCARD,"Glycated albumin, Beta-2 Microglobulin, Cystatin C (Surplus)",Laboratory
414,SSCGA,"Cancer antigen CA125, CA15.3 and HE4 IgG antibodies - Serum (Surplus)",Laboratory
415,SSCLTY,Chlorinated Tyrosine – Serum (Surplus),Laboratory
