section_name,short_description,about,suggested_actions
GOVERN 3.1,"Decision-makings related to mapping, measuring, and managing AI risks throughout the lifecycle is informed by a diverse team (e.g., diversity of demographics, disciplines, experience, expertise, and backgrounds).","A diverse team that includes AI actors with diversity of experience, disciplines, and backgrounds to enhance organizational capacity and capability for anticipating risks is better equipped to carry out risk management. Consultation with external personnel may be necessary when internal teams lack a diverse range of lived experiences or disciplinary expertise. To extend the benefits of diversity, equity, and inclusion to both the users and AI actors, it is recommended that teams are composed of a diverse group of individuals who reflect a range of backgrounds, perspectives and expertise. Without commitment from senior leadership, beneficial aspects of team diversity and inclusion can be overridden by unstated organizational incentives that inadvertently conflict with the broader values of a diverse workforce. 19 of 142","Organizational management can: • Define policies and hiring practices at the outset that promote interdisciplinary roles, competencies, skills, and capacity for AI efforts. • Define policies and hiring practices that lead to demographic and domain expertise diversity; empower staff with necessary resources and support, and facilitate the contribution of staff feedback and concerns without fear of reprisal. • Establish policies that facilitate inclusivity and the integration of new insights into existing practice. • Seek external expertise to supplement organizational diversity, equity, inclusion, and accessibility where internal expertise is lacking. • Establish policies that incentivize AI actors to collaborate with existing nondiscrimination, accessibility and accommodation, and human resource functions, employee resource group (ERGs), and diversity, equity, inclusion, and accessibility (DEIA) initiatives."
GOVERN 3.2,Policies and procedures are in place to define and differentiate roles and responsibilities for human-AI configurations and oversight of AI systems.,"Identifying and managing AI risks and impacts are enhanced when a broad set of perspectives and actors across the AI lifecycle, including technical, legal, compliance, social science, and human factors expertise is engaged. AI actors include those who operate, use, or interact with AI systems for downstream tasks, or monitor AI system performance. Effective risk management efforts include: • clear definitions and differentiation of the various human roles and responsibilities for AI system oversight and governance • recognizing and clarifying differences between AI system overseers and those using or interacting with AI systems.","• Establish policies and procedures that define and differentiate the various human roles and responsibilities when using, interacting with, or monitoring AI systems. • Establish procedures for capturing and tracking risk information related to human-AI configurations and associated outcomes. • Establish policies for the development of proficiency standards for AI actors carrying out system operation tasks and system oversight tasks. 21 of 142 • Establish specified risk management training protocols for AI actors carrying out system operation tasks and system oversight tasks. • Establish policies and procedures regarding AI actor roles, and responsibilities for human oversight of deployed systems. • Establish policies and procedures defining human-AI configurations (configurations where AI systems are explicitly designated and treated as team members in primarily human teams) in relation to organizational risk tolerances, and associated documentation. • Establish policies to enhance the explanation, interpretation, and overall transparency of AI systems. • Establish policies for managing risks regarding known difficulties in human-AI configurations, human-AI teaming, and AI system user experience and user interactions (UI/UX)."
GOVERN 4.1,"Organizational policies, and practices are in place to foster a critical thinking and safety-first mindset in the design, development, deployment, and uses of AI systems to minimize negative impacts.","A risk culture and accompanying practices can help organizations effectively triage the most critical risks. Organizations in some industries implement three (or more) “lines of defense,” where separate teams are held accountable for different aspects of the system lifecycle, such as development, risk management, and auditing. While a traditional three- lines approach may be impractical for smaller organizations, leadership can commit to cultivating a strong risk culture through other means. For example, “effective challenge,” is a culture- based practice that encourages critical thinking and questioning of important design and implementation decisions by experts with the authority and stature to make such changes. Red-teaming is another risk measurement and management approach. This practice consists of adversarial testing of AI systems under stress conditions to seek out failure modes or vulnerabilities in the system. Red-teams are composed of external experts or personnel who are independent from internal AI actors.","• Establish policies that require inclusion of oversight functions (legal, compliance, risk management) from the outset of the system design process. • Establish policies that promote effective challenge of AI system design, implementation, and deployment decisions, via mechanisms such as the three lines of defense, model audits, or red-teaming – to minimize workplace risks such as groupthink. • Establish policies that incentivize safety-first mindset and general critical thinking and review at an organizational and procedural level. • Establish whistleblower protections for insiders who report on perceived serious problems with AI systems. • Establish policies to integrate a harm and risk prevention mindset throughout the AI lifecycle."
GOVERN 4.2,"Organizational teams document the risks and potential impacts of the AI technology they design, develop, deploy, evaluate and use, and communicate about the impacts more broadly.","Impact assessments are one approach for driving responsible technology development practices. And, within a specific use case, these assessments can provide a high-level structure for organizations to frame risks of a given algorithm or deployment. Impact 24 of 142 assessments can also serve as a mechanism for organizations to articulate risks and generate documentation for managing and oversight activities when harms do arise. Impact assessments may: • be applied at the beginning of a process but also iteratively and regularly since goals and outcomes can evolve over time. • include perspectives from AI actors, including operators, users, and potentially impacted communities (including historically marginalized communities, those with disabilities, and individuals impacted by the digital divide), • assist in “go/no-go” decisions for an AI system. • consider conflicts of interest, or undue influence, related to the organizational team being assessed. See the MAP function playbook guidance for more information relating to impact assessments.","• Establish impact assessment policies and processes for AI systems used by the organization. • Align organizational impact assessment activities with relevant regulatory or legal requirements. • Verify that impact assessment activities are appropriate to evaluate the potential negative impact of a system and how quickly a system changes, and that assessments are applied on a regular basis. • Utilize impact assessments to inform broader evaluations of AI system risk."
GOVERN 4.3,"Organizational practices are in place to enable AI testing, identification of incidents, and information sharing.","Identifying AI system limitations, detecting and tracking negative impacts and incidents, and sharing information about these issues with appropriate AI actors will improve risk management. Issues such as concept drift, AI bias and discrimination, shortcut learning or underspecification are difficult to identify using current standard AI testing processes. Organizations can institute in-house use and testing policies and procedures to identify and manage such issues. Efforts can take the form of pre-alpha or pre-beta testing, or deploying internally developed systems or products within the organization. Testing may entail limited and controlled in-house, or publicly available, AI system testbeds, and accessibility of AI system interfaces and outputs. Without policies and procedures that enable consistent testing practices, risk management efforts may be bypassed or ignored, exacerbating risks or leading to inconsistent risk management activities. Information sharing about impacts or incidents detected during testing or deployment can: • draw attention to AI system risks, failures, abuses or misuses, • allow organizations to benefit from insights based on a wide range of AI applications and implementations, and • allow organizations to be more proactive in avoiding known failure modes. Organizations may consider sharing incident information with the AI Incident Database, the AIAAIC, users, impacted communities, or with traditional cyber vulnerability databases, such as the MITRE CVE list.",• Establish policies and procedures to facilitate and equip AI system testing. • Establish organizational commitment to identifying AI system limitations and sharing of insights about limitations within appropriate AI actor groups. • Establish policies for reporting and documenting incident response. • Establish policies and processes regarding public disclosure of incidents and information sharing. • Establish guidelines for incident handling related to AI system risks and performance.
GOVERN 5.1,"Organizational policies and practices are in place to collect, consider, prioritize, and integrate feedback from those external to the team that developed or deployed the AI system regarding the potential individual and societal impacts related to AI risks.","Beyond internal and laboratory-based system testing, organizational policies and practices may consider AI system fitness-for-purpose related to the intended context of use. Participatory stakeholder engagement is one type of qualitative activity to help AI actors answer questions such as whether to pursue a project or how to design with impact in mind. This type of feedback, with domain expert input, can also assist AI actors to identify emergent scenarios and risks in certain AI applications. The consideration of when and how to convene a group and the kinds of individuals, groups, or community organizations to include is an iterative process connected to the system's purpose and its level of risk. Other factors relate to how to collaboratively and respectfully capture stakeholder feedback and insight that is useful, without being a solely perfunctory exercise. 28 of 142 These activities are best carried out by personnel with expertise in participatory practices, qualitative methods, and translation of contextual feedback for technical audiences. Participatory engagement is not a one-time exercise and is best carried out from the very beginning of AI system commissioning through the end of the lifecycle. Organizations can consider how to incorporate engagement when beginning a project and as part of their monitoring of systems. Engagement is often utilized as a consultative practice, but this perspective may inadvertently lead to “participation washing.” Organizational transparency Organizations may also consider targeted consultation with subject matter experts as a complement to participatory findings. Experts may assist internal staff in identifying and conceptualizing potential negative impacts that were previously not considered.","• Establish AI risk management policies that explicitly address mechanisms for collecting, evaluating, and incorporating stakeholder and user feedback that could include: • Recourse mechanisms for faulty AI system outputs. • Bug bounties. • Human-centered design. • User-interaction and experience research. • Participatory stakeholder engagement with individuals and communities that may experience negative impacts. • Verify that stakeholder feedback is considered and addressed, including environmental concerns, and across the entire population of intended users, including historically excluded populations, people with disabilities, older people, and those with limited access to the internet and other basic technologies. • Clarify the organization’s principles as they apply to AI systems – considering those which have been proposed publicly – to inform external stakeholders of the organization’s values. Consider publishing or adopting AI principles."
GOVERN 5.2,Mechanisms are established to enable AI actors to regularly incorporate adjudicated feedback from relevant AI actors into system design and implementation.,"Organizational policies and procedures that equip AI actors with the processes, knowledge, and expertise needed to inform collaborative decisions about system deployment improve risk management. These decisions are closely tied to AI systems and organizational risk tolerance. Risk tolerance, established by organizational leadership, reflects the level and type of risk the organization will accept while conducting its mission and carrying out its strategy. When risks arise, resources are allocated based on the assessed risk of a given AI system. Organizations typically apply a risk tolerance approach where higher risk systems receive larger allocations of risk management resources and lower risk systems receive less resources.","• Explicitly acknowledge that AI systems, and the use of AI, present inherent costs and risks along with potential benefits. 30 of 142 • Define reasonable risk tolerances for AI systems informed by laws, regulation, best practices, or industry standards. • Establish policies that ensure all relevant AI actors are provided with meaningful opportunities to provide feedback on system design and implementation. • Establish policies that define how to assign AI systems to established risk tolerance levels by combining system impact assessments with the likelihood that an impact occurs. Such assessment often entails some combination of: • Econometric evaluations of impacts and impact likelihoods to assess AI system risk. • Red-amber-green (RAG) scales for impact severity and likelihood to assess AI system risk. • Establishment of policies for allocating risk management resources along established risk tolerance levels, with higher-risk systems receiving more risk management resources and oversight. • Establishment of policies for approval, conditional approval, and disapproval of the design, implementation, and deployment of AI systems. • Establish policies facilitating the early decommissioning of AI systems that surpass an organization’s ability to reasonably mitigate risks."
GOVERN 6.1,"Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third party’s intellectual property or other rights.","Risk measurement and management can be complicated by how customers use or integrate third-party data or systems into AI products or services, particularly without sufficient internal governance structures and technical safeguards. Organizations usually engage multiple third parties for external expertise, data, software packages (both open source and commercial), and software and hardware platforms across the AI lifecycle. This engagement has beneficial uses and can increase complexities of risk management efforts. Organizational approaches to managing third-party (positive and negative) risk may be tailored to the resources, risk profile, and use case for each system. Organizations can apply governance approaches to third-party AI systems and data as they would for internal resources — including open source software, publicly available data, and commercially available models.","• Collaboratively establish policies that address third-party AI systems and data. • Establish policies related to: • Transparency into third-party system functions, including knowledge about training data, training and inference algorithms, and assumptions and limitations. • Thorough testing of third-party AI systems. (See MEASURE for more detail) • Requirements for clear and complete instructions for third-party system usage. • Evaluate policies for third-party technology. • Establish policies that address supply chain, full product lifecycle and associated processes, including legal, ethical, and other issues concerning procurement and use of third-party software or hardware systems and data."
GOVERN 6.2,Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk.,"To mitigate the potential harms of third-party system failures, organizations may implement policies and procedures that include redundancies for covering third-party functions.",• Establish policies for handling third-party system failures to include consideration of redundancy mechanisms for vital third-party AI systems. • Verify that incident response plans address third-party AI systems. 33 of 142
MANAGE 1.1,A determination is made as to whether the AI system achieves its intended purpose and stated objectives and whether its development or deployment should proceed.,"AI systems may not necessarily be the right solution for a given business task or problem. A standard risk management practice is to formally weigh an AI system’s negative risks against its benefits, and to determine if the AI system is an appropriate solution. Tradeoffs among trustworthiness characteristics —such as deciding to deploy a system based on system performance vs system transparency–may require regular assessment throughout the AI lifecycle.",• Consider trustworthiness characteristics when evaluating AI systems’ negative risks and benefits. • Utilize TEVV outputs from map and measure functions when considering risk treatment. • Regularly track and monitor negative risks and benefits throughout the AI system lifecycle including in post-deployment monitoring. • Regularly assess and document system performance relative to trustworthiness characteristics and tradeoffs between negative risks and opportunities. • Evaluate tradeoffs in connection with real-world use cases and impacts and as enumerated in Map function outcomes.
MANAGE 1.2,"Treatment of documented AI risks is prioritized based on impact, likelihood, or available resources or methods.","Risk refers to the composite measure of an event’s probability of occurring and the magnitude (or degree) of the consequences of the corresponding events. The impacts, or consequences, of AI systems can be positive, negative, or both and can result in opportunities or risks. Organizational risk tolerances are often informed by several internal and external factors, including existing industry practices, organizational values, and legal or regulatory requirements. Since risk management resources are often limited, organizations usually assign them based on risk tolerance. AI risks that are deemed more serious receive more oversight attention and risk management resources.","• Assign risk management resources relative to established risk tolerance. AI systems with lower risk tolerances receive greater oversight, mitigation and management resources. • Document AI risk tolerance determination practices and resource decisions. • Regularly review risk tolerances and re-calibrate, as needed, in accordance with information from AI system monitoring and assessment . 36 of 142"
MANAGE 1.3,"Responses to the AI risks deemed high priority as identified by the Map function, are developed, planned, and documented. Risk response options can include mitigating, transferring, avoiding, or accepting. 37 of 142","Outcomes from GOVERN-1, MAP-5 and MEASURE-2, can be used to address and document identified risks based on established risk tolerances. Organizations can follow existing regulations and guidelines for risk criteria, tolerances and responses established by organizational, domain, discipline, sector, or professional requirements. In lieu of such guidance, organizations can develop risk response plans based on strategies such as accepted model risk management, enterprise risk management, and information sharing and disclosure practices.","• Observe regulatory and established organizational, sector, discipline, or professional standards and requirements for applying risk tolerances within the organization. • Document procedures for acting on AI system risks related to trustworthiness characteristics. • Prioritize risks involving physical safety, legal liabilities, regulatory compliance, and negative impacts on individuals, groups, or society. • Identify risk response plans and resources and organizational teams for carrying out response functions. • Store risk management and system documentation in an organized, secure repository that is accessible by relevant AI Actors and appropriate personnel."
MANAGE 1.4,Negative residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers of AI systems and end users are documented.,"Organizations may choose to accept or transfer some of the documented risks from MAP and MANAGE 1.3 and 2.1. Such risks, known as residual risk, may affect downstream AI actors such as those engaged in system procurement or use. Transparent monitoring and managing residual risks enables cost benefit analysis and the examination of potential values of AI systems versus its potential negative impacts.","• Document residual risks within risk response plans, denoting risks that have been accepted, transferred, or subject to minimal mitigation. • Establish procedures for disclosing residual risks to relevant downstream AI actors . • Inform relevant downstream AI actors of requirements for safe operation, known limitations, and suggested warning labels as identified in MAP 3.4."
MANAGE 2.1,"Resources required to manage AI risks are taken into account, along with viable non-AI alternative systems, approaches, or methods – to reduce the magnitude or likelihood of potential impacts.","Organizational risk response may entail identifying and analyzing alternative approaches, methods, processes or systems, and balancing tradeoffs between trustworthiness characteristics and how they relate to organizational principles and societal values. Analysis of these tradeoffs is informed by consulting with interdisciplinary organizational teams, independent domain experts, and engaging with individuals or community groups. These processes require sufficient resource allocation.","• Plan and implement risk management practices in accordance with established organizational risk tolerances. • Verify risk management teams are resourced to carry out functions, including 40 of 142 • Establishing processes for considering methods that are not automated; semi- automated; or other procedural alternatives for AI functions. • Enhance AI system transparency mechanisms for AI teams. • Enable exploration of AI system limitations by AI teams. • Identify, assess, and catalog past failed designs and negative impacts or outcomes to avoid known failure modes. • Identify resource allocation approaches for managing risks in systems: • deemed high-risk, • that self-update (adaptive, online, reinforcement self-supervised learning or similar), • trained without access to ground truth (unsupervised, semi-supervised, learning or similar), • with high uncertainty or where risk management is insufficient. • Regularly seek and integrate external expertise and perspectives to supplement organizational diversity (e.g. demographic, disciplinary), equity, inclusion, and accessibility where internal capacity is lacking. • Enable and encourage regular, open communication and feedback among AI actors and internal or external stakeholders related to system design or deployment decisions. • Prepare and document plans for continuous monitoring and feedback mechanisms."
